"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"376","84","9","4","2","79","SDENSTR"
"377","84","9","4","3","96","SDIASTRD8"
"378","84","9","4","4","116","SLOPSTRD0"
"379","84","9","4","5","138","T5_50MN"
"380","84","9","4","6","139","T5_50SD"
"381","84","9","4","7","185","T20_1100SD"
"382","84","9","4","8","195","T20_1600SD"
"383","84","9","4","9","197","T20_1700SD"
"384","85","9","5","1","1","BLDADEN"
"385","85","9","5","2","6","BLDADEND5"
"386","85","9","5","3","40","PCLDEND5"
"387","85","9","5","4","78","SDENSAND10"
"388","85","9","5","5","79","SDENSTR"
"389","85","9","5","6","110","SLOPSAND6"
"390","85","9","5","7","128","SPDIASTR2"
"391","85","9","5","8","138","T5_50MN"
"392","85","9","5","9","139","T5_50SD"
"393","86","9","6","1","1","BLDADEN"
"394","86","9","6","2","6","BLDADEND5"
"395","86","9","6","3","78","SDENSAND10"
"396","86","9","6","4","79","SDENSTR"
"397","86","9","6","5","128","SPDIASTR2"
"398","86","9","6","6","138","T5_50MN"
"399","86","9","6","7","139","T5_50SD"
"400","86","9","6","8","189","T20_1300SD"
"401","86","9","6","9","201","T20_1900SD"
"402","87","9","7","1","6","BLDADEND5"
"403","87","9","7","2","9","BLDADEND8"
"404","87","9","7","3","34","PCLDEN"
"405","87","9","7","4","35","PCLDEND0"
"406","87","9","7","5","78","SDENSAND10"
"407","87","9","7","6","79","SDENSTR"
"408","87","9","7","7","128","SPDIASTR2"
"409","87","9","7","8","175","T10_850SD"
"410","87","9","7","9","185","T20_1100SD"
"411","88","9","8","1","1","BLDADEN"
"412","88","9","8","2","40","PCLDEND5"
"413","88","9","8","3","41","PCLDEND6"
"414","88","9","8","4","46","RDDEND1"
"415","88","9","8","5","79","SDENSTR"
"416","88","9","8","6","110","SLOPSAND6"
"417","88","9","8","7","128","SPDIASTR2"
"418","88","9","8","8","175","T10_850SD"
"419","88","9","8","9","189","T20_1300SD"
"420","89","9","9","1","1","BLDADEN"
"421","89","9","9","2","19","BLDDEND7"
"422","89","9","9","3","39","PCLDEND4"
"423","89","9","9","4","78","SDENSAND10"
"424","89","9","9","5","115","SLOPSTR1"
"425","89","9","9","6","128","SPDIASTR2"
"426","89","9","9","7","139","T5_50SD"
"427","89","9","9","8","140","T5_75MN"
"428","89","9","9","9","142","T5_100MN"
"429","90","9","10","1","1","BLDADEN"
"430","90","9","10","2","6","BLDADEND5"
"431","90","9","10","3","40","PCLDEND5"
"432","90","9","10","4","78","SDENSAND10"
"433","90","9","10","5","110","SLOPSAND6"
"434","90","9","10","6","115","SLOPSTR1"
"435","90","9","10","7","128","SPDIASTR2"
"436","90","9","10","8","138","T5_50MN"
"437","90","9","10","9","139","T5_50SD"
"438","91","10","1","1","1","BLDADEN"
"439","91","10","1","2","6","BLDADEND5"
"440","91","10","1","3","78","SDENSAND10"
"441","91","10","1","4","79","SDENSTR"
"442","91","10","1","5","105","SLOPSAND1"
"443","91","10","1","6","117","SPAGESAN1"
"444","91","10","1","7","128","SPDIASTR2"
"445","91","10","1","8","175","T10_850SD"
"446","91","10","1","9","181","T10_1000SD"
"447","91","10","1","10","199","T20_1800SD"
"448","92","10","2","1","2","BLDADEND1"
"449","92","10","2","2","39","PCLDEND4"
"450","92","10","2","3","55","SAGESAND1"
"451","92","10","2","4","77","SDENSAN"
"452","92","10","2","5","78","SDENSAND10"
"453","92","10","2","6","117","SPAGESAN1"
"454","92","10","2","7","123","SPAGESTR3"
"455","92","10","2","8","128","SPDIASTR2"
"456","92","10","2","9","175","T10_850SD"
"457","92","10","2","10","189","T20_1300SD"
"458","93","10","3","1","9","BLDADEND8"
"459","93","10","3","2","34","PCLDEN"
"460","93","10","3","3","35","PCLDEND0"
"461","93","10","3","4","46","RDDEND1"
"462","93","10","3","5","79","SDENSTR"
"463","93","10","3","6","123","SPAGESTR3"
"464","93","10","3","7","128","SPDIASTR2"
"465","93","10","3","8","167","T10_650SD"
"466","93","10","3","9","187","T20_1200SD"
"467","93","10","3","10","189","T20_1300SD"
"468","94","10","4","1","6","BLDADEND5"
"469","94","10","4","2","36","PCLDEND1"
"470","94","10","4","3","64","SAGESTR3"
"471","94","10","4","4","78","SDENSAND10"
"472","94","10","4","5","138","T5_50MN"
"473","94","10","4","6","139","T5_50SD"
"474","94","10","4","7","180","T10_1000MN"
"475","94","10","4","8","182","T20_1000MN"
"476","94","10","4","9","189","T20_1300SD"
"477","94","10","4","10","203","T20_2000SD"
"478","95","10","5","1","46","RDDEND1"
"479","95","10","5","2","78","SDENSAND10"
"480","95","10","5","3","79","SDENSTR"
"481","95","10","5","4","117","SPAGESAN1"
"482","95","10","5","5","123","SPAGESTR3"
"483","95","10","5","6","128","SPDIASTR2"
"484","95","10","5","7","157","T10_400SD"
"485","95","10","5","8","189","T20_1300SD"
