VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA,NVAR,UERROR,MODELID,NMODELS,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11,XVAR12,XVAR13,XVAR14,XVAR15,XVAR16,XVAR17,XVAR18,XVAR19,XVAR20,VARSETRANK
63,0.727,0.455,0.720,0.735,0.720,0.735,11,0.234,105,1,BLDADEN,SAGESAND1,SDENSAND10,SDENSTR,SLOPSTRD0,SPAGESAN1,SPDIASTR2,T10_850SD,T20_1300SD,T20_1600SD,T20_1700SD,N,N,N,N,N,N,N,N,N,0.4231117021276596
64,0.788,0.576,0.784,0.792,0.776,0.800,11,0.200,106,1,BLDADEND1,SDENSAND10,SLOPSTR1,SPDIASTR2,T20_1300SD,T20_1600SD,T20_1700SD,T20_1800SD,T5_100MN,T5_50SD,T5_75MN,N,N,N,N,N,N,N,N,N,0.551191489361702
65,0.758,0.515,0.745,0.771,0.740,0.776,11,0.222,107,1,SAGESAN3,SAGESAND0,SDENSAND10,SDIASTRD4,SPAGESTR3,T20_1300SD,T20_1600SD,T20_1700SD,T20_1900SD,T5_50SD,T5_75MN,N,N,N,N,N,N,N,N,N,0.48662234042553193
66,0.717,0.434,0.714,0.720,0.714,0.720,11,-1.000,108,1,RDDEND0,RDP,SAGESTRD10,SDIASAN1,SLOPSTR1,SPDIASTR2,T20_1300SD,T20_1600SD,T20_1700SD,T5_25MN,T5_50SD,N,N,N,N,N,N,N,N,N,0.4008829787234042
67,0.758,0.515,0.745,0.771,0.740,0.776,11,0.224,109,1,SAGESAN3,SDENSAND10,SDIASTRD4,SPAGESTR3,T10_400SD,T10_850MN,T10_900MN,T10_950MN,T20_1100SD,T20_1600SD,T20_1700SD,N,N,N,N,N,N,N,N,N,0.48662234042553193
68,0.798,0.596,0.788,0.809,0.776,0.820,11,0.190,110,1,RDDEND1,SAGESAN3,SAGESAND0,SDENSAND10,SDIASTRD4,SPAGESTR3,T20_1000SD,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,0.5723617021276596
69,0.768,0.535,0.755,0.783,0.735,0.800,12,0.179,111,1,BLDADEN,BLDADEND5,PCLDEND5,RDDEND0,SDENSAND10,SDENSTR,SLOPSTRD0,SPDIASTR2,T20_1700SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,0.5051604278074867
70,0.758,0.515,0.745,0.771,0.740,0.776,12,0.167,112,1,BLDADEN,RDDEND0,SDENSAND10,SLOPSTR1,SLOPSTRD0,SPDIASTR2,T10_1000SD,T20_1800SD,T20_1900SD,T5_100MN,T5_50SD,T5_75MN,N,N,N,N,N,N,N,N,0.4838770053475936
71,0.778,0.555,0.769,0.787,0.755,0.800,12,0.182,114,1,BLDADEN,BLDADEND5,PCLDEND5,RDDEND0,SDENSAND10,SDENSTR,SLOPSTRD0,SPDIASTR2,T20_1300SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,0.5264438502673797
72,0.758,0.515,0.745,0.771,0.740,0.776,12,-1.000,115,1,BLDADEN,BLDADEND8,BLDDEND1,PCLDEND5,RDDEND1,SDIASTRD0,SDIASTRD8,SLOPSAND6,SLOPSTR1,SPDIASTR2,T10_850SD,T20_1300SD,N,N,N,N,N,N,N,N,0.4838770053475936
