"VARSET2","CLASS2","VARNAMES2","MEANS2"
52,1,"PCLDEND4",0.163265306122449
52,0,"PCLDEND6",0.02
52,1,"PCLDEND6",0
52,0,"RDDEND1",0.74
52,1,"RDDEND1",0.489795918367347
52,0,"SAGESAND3",0.00266728
52,1,"SAGESAND3",0.00302540816326531
52,0,"SDENSTRD10",0.82
52,1,"SDENSTRD10",0.938775510204082
52,0,"SDIASTRD8",0.00634682
52,1,"SDIASTRD8",0.00200787755102041
52,0,"SPDIASTRC",1.72
52,1,"SPDIASTRC",1.79591836734694
52,0,"T10_500SD",9.03605763578219
52,1,"T10_500SD",10.1060732024488
53,0,"BLDADEN",0.189703653466117
53,1,"BLDADEN",0.210984005426741
53,0,"RDDEND1",0.74
53,1,"RDDEND1",0.489795918367347
53,0,"SAGESTRD10",5.572e-05
53,1,"SAGESTRD10",0
53,0,"SDENSTR",0.0338100779201485
53,1,"SDENSTR",0.0406710985381146
53,0,"SDIASTRD8",0.00634682
53,1,"SDIASTRD8",0.00200787755102041
53,0,"SLOPSAN2",0.000854172520962291
53,1,"SLOPSAN2",0.00230552765168378
53,0,"SLOPSAND6",0.00362542
53,1,"SLOPSAND6",0.00236922448979592
53,0,"SPDIASTR2",0.62
53,1,"SPDIASTR2",0.836734693877551
53,0,"T5_25MN",0.0347096519587467
53,1,"T5_25MN",-0.00684969634391212
53,0,"T5_50SD",0.611553045664493
53,1,"T5_50SD",1.32649040045086
54,0,"BLDADEN",0.189703653466117
54,1,"BLDADEN",0.210984005426741
54,0,"RDDEND1",0.74
54,1,"RDDEND1",0.489795918367347
54,0,"SDENSTR",0.0338100779201485
54,1,"SDENSTR",0.0406710985381146
54,0,"SDIASTRD0",7.582e-05
54,1,"SDIASTRD0",0
54,0,"SDIASTRD8",0.00634682
54,1,"SDIASTRD8",0.00200787755102041
54,0,"SLOPSAND6",0.00362542
54,1,"SLOPSAND6",0.00236922448979592
