VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3,Y0,Y1,Z0,Z1,DFCOEF3_ADJ,Z0_ADJ,Z1_ADJ,SD,B*,LOADING,RL,RANK
28,RDDEND1,LN1,-0.96014423929,0.74,0.489795918367,-0.6467644233,0.750478559577,-0.96014423929,-0.6467644233,0.750478559577,0.488794241321,-0.469312975002,-0.543223241104,-1.18757967634,7.0
28,SAGESAND0,LN1,266.421636529,0.0,0.000749734693878,-0.6467644233,0.750478559577,266.421636529,-0.6467644233,0.750478559577,0.00173941037205,0.463416557917,0.457420459384,1.0,1.0
28,SDENSTR,LN1,48.4967555121,0.0338100779201,0.0406710985381,-0.6467644233,0.750478559577,48.4967555121,-0.6467644233,0.750478559577,0.0236910427014,1.14893870572,0.307336811849,0.671891266654,3.0
28,SDIASTRD8,LN1,-63.3604096515,0.00634682,0.00200787755102,-0.6467644233,0.750478559577,-63.3604096515,-0.6467644233,0.750478559577,0.0100227408606,-0.635044966759,-0.459417380164,-1.00436561317,6.0
29,PCLDEND5,LN1,-1.698057769,0.04,0.0204081632653,-0.794029897629,0.610919180859,-1.698057769,-0.794029897629,0.610919180859,0.172292196902,-0.292562103487,-0.120455082121,-0.263817737477,3.0
29,PCLDEND6,LN1,-7.36773285014,0.02,0.0,-0.794029897629,0.610919180859,-7.36773285014,-0.794029897629,0.610919180859,0.100503781526,-0.740485012712,-0.210796393711,-0.461681040585,4.0
29,RDDEN,LN1,-27.4783449004,0.04717518,0.0415864489796,-0.794029897629,0.610919180859,-27.4783449004,-0.794029897629,0.610919180859,0.0272652203833,-0.749203129476,-0.217129973491,-0.475552690151,5.0
29,RDDEND1,LN1,-1.00488241668,0.74,0.489795918367,-0.794029897629,0.610919180859,-1.00488241668,-0.794029897629,0.610919180859,0.488794241321,-0.491180738477,-0.542230438355,-1.18757967634,7.0
29,SAGESAND0,LN1,253.701629313,0.0,0.000749734693878,-0.794029897629,0.610919180859,253.701629313,-0.794029897629,0.610919180859,0.00173941037205,0.441291245432,0.456584471055,1.0,1.0
29,SDENSTR,LN1,54.3129376067,0.0338100779201,0.0406710985381,-0.794029897629,0.610919180859,54.3129376067,-0.794029897629,0.610919180859,0.0236910427014,1.28673012408,0.306775118592,0.671891266654,2.0
