TVID,VARNAME,XVARSEL
859,SSH7,N
860,SSH8,X
861,SSH9,X
862,SSH10,X
863,SSH11,X
864,SSH12,X
865,SSH13,X
866,SSH14,X
867,SSH15,X
868,SSH16,X
869,SSH17,X
870,SSH18,X
871,SSH19,X
872,SSH20,X
873,SSH21,X
874,SSH22,X
875,SSH23,X
876,SSH24,X
877,SSH25,N
878,T5_25MN,X
879,T5_25SD,X
880,T5_50MN,X
881,T5_50SD,X
882,T5_75MN,X
883,T5_75SD,X
884,T5_100MN,X
885,T5_100SD,X
886,T5_150MN,X
887,T5_150SD,X
888,T5_200MN,X
889,T5_200SD,X
890,T5_250MN,X
891,T5_250SD,X
892,T10_250MN,X
893,T10_250SD,X
894,T10_300MN,X
895,T10_300SD,X
896,T10_350MN,X
897,T10_350SD,X
898,T10_400MN,X
899,T10_400SD,X
900,T10_450MN,X
901,T10_450SD,X
902,T10_500MN,X
903,T10_500SD,X
904,T10_550MN,X
905,T10_550SD,X
906,T10_600MN,X
907,T10_600SD,X
908,T10_650MN,X
909,T10_650SD,X
910,T10_700MN,X
911,T10_700SD,X
912,T10_750MN,X
913,T10_750SD,X
914,T10_800MN,X
915,T10_800SD,X
916,T10_850MN,X
917,T10_850SD,X
918,T10_900MN,X
919,T10_900SD,X
920,T10_950MN,X
921,T10_950SD,X
922,T10_1000MN,X
923,T10_1000SD,X
924,T20_1000MN,X
925,T20_1000SD,X
926,T20_1100MN,X
927,T20_1100SD,X
928,T20_1200MN,X
929,T20_1200SD,X
930,T20_1300MN,X
931,T20_1300SD,X
932,T20_1400MN,X
933,T20_1400SD,X
934,T20_1500MN,X
935,T20_1500SD,X
936,T20_1600MN,X
937,T20_1600SD,X
938,T20_1700MN,X
939,T20_1700SD,X
940,T20_1800MN,X
941,T20_1800SD,X
942,T20_1900MN,X
943,T20_1900SD,X
944,T20_2000MN,X
945,T20_2000SD,X
946,TASPECT,X
947,TFLOWDIR,X
948,TMAX,N
949,TMEAN,N
950,TMIN,N
951,TROUGHNESS,N
952,TSD,N
953,TSLOPE,X
954,TTRI,N
955,WCH050,N
956,WCH100,N
957,WCH200,N
958,WCH500,N
959,WCH500P,N
960,WLAKCDH,N
961,WLAKCDV,N
962,WLAKCH050,N
963,WLAKCH100,N
964,WLAKCH200,N
965,WLAKCH500,N
966,WLAKCH500P,N
967,WLAKCV05,N
968,WLAKCV10,N
969,WLAKCV20,N
970,WLAKCV20P,N
971,WLAKCVNEG,N
972,WLAKEDH,N
973,WLAKEDV,N
974,WLAKP,X
975,WLLKCDH,N
976,WLLKCDV,N
977,WLLKCH050,N
978,WLLKCH100,N
979,WLLKCH200,N
980,WLLKCH500,N
981,WLLKCH500P,N
982,WLLKCV05,N
983,WLLKCV10,N
984,WLLKCV20,N
985,WLLKCV20P,N
986,WLLKCVNEG,N
987,WLLKEDH,N
988,WLLKEDV,N
989,WLLKP,X
990,WLRVCDH,N
991,WLRVCDV,N
992,WLRVCH050,N
993,WLRVCH100,N
994,WLRVCH200,N
995,WLRVCH500,N
996,WLRVCH500P,N
997,WLRVCV05,N
998,WLRVCV10,N
999,WLRVCV20,N
1000,WLRVCV20P,N
1001,WLRVCVNEG,N
1002,WLRVEDH,N
1003,WLRVEDV,N
1004,WLRVP,X
1005,WOCECDH,N
1006,WOCECDV,N
1007,WOCECH050,N
1008,WOCECH100,N
1009,WOCECH200,N
1010,WOCECH500,N
1011,WOCECH500P,N
1012,WOCECV05,N
1013,WOCECV10,N
1014,WOCECV20,N
1015,WOCECV20P,N
1016,WOCECVNEG,N
1017,WOCEEDH,N
1018,WOCEEDV,N
1019,WOCEP,X
1020,WOTHCDH,N
1021,WOTHCDV,N
1022,WOTHCH050,N
1023,WOTHCH100,N
1024,WOTHCH200,N
1025,WOTHCH500,N
1026,WOTHCH500P,N
1027,WOTHCV05,N
1028,WOTHCV10,N
1029,WOTHCV20,N
1030,WOTHCV20P,N
1031,WOTHCVNEG,N
1032,WOTHEDH,N
1033,WOTHEDV,N
1034,WOTHP,X
1035,WRESCDH,N
1036,WRESCDV,N
