"VARSET2","CLASS2","VARNAMES2","MEANS2"
23,0,"SSH7_25",0.130702836004932
23,1,"SSH7_25",0.274438812454743
24,0,"BLDADEN",0.219108679613829
24,1,"BLDADEN",0.22872441890272
24,0,"L039",0.0104808877928483
24,1,"L039",0.0492396813902969
24,0,"OICP",0.381011097410604
24,1,"OICP",0.485155684286749
24,0,"RDDEN",0.0357690875462392
24,1,"RDDEN",0.0329483091962346
24,0,"RDDEND2",0
24,1,"RDDEND2",0.00144822592324403
24,0,"RDP",0.875462392108508
24,1,"RDP",0.923968139029689
24,0,"SAGESAND9",0.00597577373612824
24,1,"SAGESAND9",0.00328886531498914
24,0,"SLOPSTR1",0.0359819949198238
24,1,"SLOPSTR1",0.0348719320600704
24,0,"SPDIASTRC",1.30826140567201
24,1,"SPDIASTRC",1.56408399710355
24,0,"SSH7_25",0.130702836004932
24,1,"SSH7_25",0.274438812454743
25,0,"BLDADEN",0.219108679613829
25,1,"BLDADEN",0.22872441890272
25,0,"L039",0.0104808877928483
25,1,"L039",0.0492396813902969
25,0,"OICP",0.381011097410604
25,1,"OICP",0.485155684286749
25,0,"PCLDEND1",0.237361282367448
25,1,"PCLDEND1",0.169442433019551
25,0,"RDDEN",0.0357690875462392
25,1,"RDDEN",0.0329483091962346
25,0,"RDP",0.875462392108508
25,1,"RDP",0.923968139029689
25,0,"SAGESAND9",0.00597577373612824
25,1,"SAGESAND9",0.00328886531498914
25,0,"SLOPSTR1",0.0359819949198238
25,1,"SLOPSTR1",0.0348719320600704
25,0,"SPDIASTRC",1.30826140567201
25,1,"SPDIASTRC",1.56408399710355
25,0,"SSH7_25",0.130702836004932
25,1,"SSH7_25",0.274438812454743
26,0,"BLDADEND0",0.0166461159062885
26,1,"BLDADEND0",0.0101375814627082
26,0,"L039",0.0104808877928483
26,1,"L039",0.0492396813902969
26,0,"OICP",0.381011097410604
26,1,"OICP",0.485155684286749
26,0,"PCLDEND1",0.237361282367448
26,1,"PCLDEND1",0.169442433019551
26,0,"RDDEN",0.0357690875462392
26,1,"RDDEN",0.0329483091962346
26,0,"RDP",0.875462392108508
26,1,"RDP",0.923968139029689
26,0,"SAGESAND9",0.00597577373612824
26,1,"SAGESAND9",0.00328886531498914
26,0,"SLOPSTR1",0.0359819949198238
26,1,"SLOPSTR1",0.0348719320600704
26,0,"SPDIASTRC",1.30826140567201
26,1,"SPDIASTRC",1.56408399710355
26,0,"SSH7_25",0.130702836004932
26,1,"SSH7_25",0.274438812454743
27,0,"BLDADEN",0.219108679613829
27,1,"BLDADEN",0.22872441890272
27,0,"BLDDEND1",0.280517879161529
27,1,"BLDDEND1",0.264301230992035
27,0,"L039",0.0104808877928483
27,1,"L039",0.0492396813902969
27,0,"OICP",0.381011097410604
27,1,"OICP",0.485155684286749
27,0,"PCLDEND1",0.237361282367448
27,1,"PCLDEND1",0.169442433019551
27,0,"RDDEN",0.0357690875462392
27,1,"RDDEN",0.0329483091962346
27,0,"RDP",0.875462392108508
27,1,"RDP",0.923968139029689
27,0,"SAGESAND9",0.00597577373612824
27,1,"SAGESAND9",0.00328886531498914
27,0,"SLOPSTR1",0.0359819949198238
