TVID,VARNAME,XVARSEL
497,SAGECOMD3,X
494,SAGECOMD0,X
495,SAGECOMD1,X
500,SAGECOMD6,X
501,SAGECOMD7,X
498,SAGECOMD4,X
958,WCH500,N
120,HSLWCVNEG,N
990,WLRVCDH,N
787,SPDIA3,N
894,T10_300MN,N
673,SLOP5,N
672,SLOP4,N
238,L190,X
669,SLOP1,N
668,SLOP0,N
671,SLOP3,N
670,SLOP2,N
945,T20_2000SD,N
789,SPDIA5,N
42,BLDP,X
1027,WOTHCV05,N
933,T20_1400SD,N
738,SLOPSTR2,X
237,L181,X
236,L180,X
404,MCULCDV,N
1063,WRIVEDV,N
632,SDIASAN0,X
220,L063,X
217,L060,X
78,GDRAIN2R,X
246,L206,X
831,SPSLPCOM3,X
927,T20_1100SD,X
491,SAGECOM3,X
57,CLTOT31P,N
162,ISTPCH100,N
832,SPSLPCOM4,X
314,L418,X
403,MCULCDH,N
305,L408,X
205,L047,X
881,T5_50SD,X
909,T10_650SD,X
976,WLLKCDV,N
137,IOTHCV10,N
594,SDIACOMD2,X
289,L276,X
888,T5_200MN,X
406,MCULCH100,N
84,GWTRTB1YB,X
515,SAGED10,N
287,L274,X
113,HSLWCH200,N
8,BLDADEND1,X
731,SLOPSAND6,X
340,L449,X
587,SDIACOM2,X
588,SDIACOM3,X
585,SDIACOM0,X
586,SDIACOM1,X
591,SDIACOM6,X
364,L525,X
589,SDIACOM4,X
590,SDIACOM5,X
180,ITRECH500P,N
883,T5_75SD,X
413,MCULCV20P,N
1015,WOCECV20P,N
1047,WRESEDH,N
1056,WRIVCH500P,N
807,SPDIASAN2,X
808,SPDIASAN3,X
805,SPDIASAN0,X
806,SPDIASAN1,X
811,SPDIASAN6,X
56,CLTOT31CNT,N
809,SPDIASAN4,X
810,SPDIASAN5,X
517,SAGEOTH1,X
516,SAGEOTH0,X
519,SAGEOTH3,X
101,HBNKEDH,N
521,SAGEOTH5,X
520,SAGEOTH4,X
903,T10_500SD,X
690,SLOPCOMD10,X
905,T10_550SD,X
155,ISAPCVNEG,N
1035,WRESCDH,N
915,T10_800SD,X
845,SPSLPSAN5,X
955,WCH050,N
843,SPSLPSAN3,X
842,SPSLPSAN2,X
841,SPSLPSAN1,X
840,SPSLPSAN0,X
1051,WRIVCDV,N
897,T10_350SD,X
357,L488,X
335,L444,X
923,T10_1000SD,X
3,MRATID,N
356,L480,X
1028,WOTHCV10,N
764,SPAGECOM5,X
386,L642,X
385,L640,X
857,SSH5,X
718,SLOPOTHD10,X
1023,WOTHCH100,N
443,MOTHCV20P,N
368,L560,X
1050,WRIVCDH,N
947,TFLOWDIR,X
186,ITREEDH,N
732,SLOPSAND7,X
757,SPAGE4,N
41,BLDHTSTD,X
988,WLLKEDV,N
827,SPSLP5,N
753,SPAGE0,N
970,WLAKCV20P,N
153,ISAPCV20,N
2,DRUID,N
987,WLLKEDH,N
1086,WWETCH500P,N
187,ITREEDV,N
794,SPDIACOM3,X
507,SAGED2,N
1001,WLRVCVNEG,N
505,SAGED0,N
506,SAGED1,N
511,SAGED6,N
1,UID,N
244,L204,X
245,L205,X
991,WLRVCDV,N
513,SAGED8,N
248,L209,X
83,GDRAIN7VP,X
313,L417,X
312,L416,X
311,L415,X
310,L414,X
309,L413,X
308,L412,X
307,L410,X
620,SDIAOTH6,X
492,SAGECOM4,X
793,SPDIACOM2,X
892,T10_250MN,N
489,SAGECOM1,X
617,SDIAOTH3,X
614,SDIAOTH0,X
615,SDIAOTH1,X
701,SLOPD10,N
169,ISTPCV20P,N
689,SLOPCOMD9,X
366,L540,X
1024,WOTHCH200,N
852,SPSTR,X
824,SPSLP2,N
825,SPSLP3,N
822,SPSLP0,N
823,SPSLP1,N
592,SDIACOMD0,X
228,L140,X
826,SPSLP4,N
414,MCULCVNEG,N
5,POSTALCODE,N
62,CLTOTUKCNT,N
97,HBNKCV10,N
183,ITRECV20,N
192,L020,X
899,T10_400SD,X
77,GDRAIN1VR,X
171,ISTPEDH,N
82,GDRAIN6P,N
906,T10_600MN,N
412,MCULCV20,N
973,WLAKEDV,N
919,T10_900SD,N
1045,WRESCV20P,N
333,L442,X
918,T10_900MN,N
172,ISTPEDV,N
524,SAGEOTHD2,X
112,HSLWCH100,N
448,OBWP,X
408,MCULCH500,N
1034,WOTHP,X
4,DRUIDAREA,N
977,WLLKCH050,N
981,WLLKCH500P,N
178,ITRECH200,N
860,SSH8,X
363,L520,X
750,SLOPSTRD8,X
930,T20_1300MN,N
773,SPAGESAN2,X
649,SDIASAND10,X
742,SLOPSTRD0,N
743,SLOPSTRD1,X
744,SLOPSTRD2,X
745,SLOPSTRD3,X
746,SLOPSTRD4,X
747,SLOPSTRD5,X
748,SLOPSTRD6,X
749,SLOPSTRD7,X
951,TROUGHNESS,N
175,ITRECDV,N
861,SSH9,X
285,L272,X
453,PCLCNT,N
86,GWTRTB3YN,X
1000,WLRVCV20P,N
962,WLAKCH050,N
88,GWTRTB5NO,X
418,MDITCDH,N
889,T5_200SD,X
432,MDITP,X
1076,WSTRCVNEG,N
925,T20_1000SD,N
166,ISTPCV05,N
25,BLDDEND0,X
659,SDIASTRD2,X
926,T20_1100MN,N
419,MDITCDV,N
1062,WRIVEDH,N
664,SDIASTRD7,X
372,L600,X
373,L601,X
663,SDIASTRD6,X
