"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"361","81","9","1","1","6","AGE_SAN2"
"362","81","9","1","2","9","AGE_STR1"
"363","81","9","1","3","14","DEM_stdd"
"364","81","9","1","4","16","DEN_BLDA"
"365","81","9","1","5","26","DIA_SAN1"
"366","81","9","1","6","38","PCNT_COM"
"367","81","9","1","7","45","PCNT_R2"
"368","81","9","1","8","53","PDITC_500"
"369","81","9","1","9","97","SLP_STR1"
"370","82","9","2","1","6","AGE_SAN2"
"371","82","9","2","2","9","AGE_STR1"
"372","82","9","2","3","14","DEM_stdd"
"373","82","9","2","4","16","DEN_BLDA"
"374","82","9","2","5","26","DIA_SAN1"
"375","82","9","2","6","38","PCNT_COM"
"376","82","9","2","7","45","PCNT_R2"
"377","82","9","2","8","53","PDITC_500"
"378","82","9","2","9","97","SLP_STR1"
"379","83","9","3","1","6","AGE_SAN2"
"380","83","9","3","2","9","AGE_STR1"
"381","83","9","3","3","14","DEM_stdd"
"382","83","9","3","4","16","DEN_BLDA"
"383","83","9","3","5","26","DIA_SAN1"
"384","83","9","3","6","38","PCNT_COM"
"385","83","9","3","7","45","PCNT_R2"
"386","83","9","3","8","53","PDITC_500"
"387","83","9","3","9","63","POSTALCODE"
"388","84","9","4","1","6","AGE_SAN2"
"389","84","9","4","2","9","AGE_STR1"
"390","84","9","4","3","14","DEM_stdd"
"391","84","9","4","4","16","DEN_BLDA"
"392","84","9","4","5","26","DIA_SAN1"
"393","84","9","4","6","38","PCNT_COM"
"394","84","9","4","7","45","PCNT_R2"
"395","84","9","4","8","53","PDITC_500"
"396","84","9","4","9","63","POSTALCODE"
"397","85","9","5","1","6","AGE_SAN2"
"398","85","9","5","2","9","AGE_STR1"
"399","85","9","5","3","14","DEM_stdd"
"400","85","9","5","4","16","DEN_BLDA"
"401","85","9","5","5","26","DIA_SAN1"
"402","85","9","5","6","38","PCNT_COM"
"403","85","9","5","7","45","PCNT_R2"
"404","85","9","5","8","53","PDITC_500"
"405","85","9","5","9","63","POSTALCODE"
"406","86","9","6","1","6","AGE_SAN2"
"407","86","9","6","2","9","AGE_STR1"
"408","86","9","6","3","14","DEM_stdd"
"409","86","9","6","4","16","DEN_BLDA"
"410","86","9","6","5","26","DIA_SAN1"
"411","86","9","6","6","38","PCNT_COM"
"412","86","9","6","7","45","PCNT_R2"
"413","86","9","6","8","53","PDITC_500"
"414","86","9","6","9","63","POSTALCODE"
"415","87","9","7","1","6","AGE_SAN2"
"416","87","9","7","2","9","AGE_STR1"
"417","87","9","7","3","14","DEM_stdd"
"418","87","9","7","4","16","DEN_BLDA"
"419","87","9","7","5","26","DIA_SAN1"
"420","87","9","7","6","38","PCNT_COM"
"421","87","9","7","7","45","PCNT_R2"
"422","87","9","7","8","53","PDITC_500"
"423","87","9","7","9","63","POSTALCODE"
"424","88","9","8","1","6","AGE_SAN2"
"425","88","9","8","2","9","AGE_STR1"
"426","88","9","8","3","14","DEM_stdd"
"427","88","9","8","4","16","DEN_BLDA"
"428","88","9","8","5","26","DIA_SAN1"
"429","88","9","8","6","38","PCNT_COM"
"430","88","9","8","7","45","PCNT_R2"
"431","88","9","8","8","53","PDITC_500"
"432","88","9","8","9","63","POSTALCODE"
"433","89","9","9","1","6","AGE_SAN2"
"434","89","9","9","2","9","AGE_STR1"
"435","89","9","9","3","14","DEM_stdd"
"436","89","9","9","4","16","DEN_BLDA"
"437","89","9","9","5","26","DIA_SAN1"
"438","89","9","9","6","38","PCNT_COM"
"439","89","9","9","7","45","PCNT_R2"
"440","89","9","9","8","53","PDITC_500"
"441","89","9","9","9","63","POSTALCODE"
"442","90","9","10","1","6","AGE_SAN2"
"443","90","9","10","2","9","AGE_STR1"
"444","90","9","10","3","14","DEM_stdd"
"445","90","9","10","4","16","DEN_BLDA"
"446","90","9","10","5","19","DEN_ROAD"
"447","90","9","10","6","26","DIA_SAN1"
"448","90","9","10","7","38","PCNT_COM"
"449","90","9","10","8","45","PCNT_R2"
"450","90","9","10","9","53","PDITC_500"
"451","91","10","1","1","6","AGE_SAN2"
"452","91","10","1","2","9","AGE_STR1"
"453","91","10","1","3","14","DEM_stdd"
"454","91","10","1","4","16","DEN_BLDA"
"455","91","10","1","5","26","DIA_SAN1"
"456","91","10","1","6","38","PCNT_COM"
"457","91","10","1","7","45","PCNT_R2"
"458","91","10","1","8","51","PCULV_DRUH"
"459","91","10","1","9","53","PDITC_500"
"460","91","10","1","10","97","SLP_STR1"
"461","92","10","2","1","6","AGE_SAN2"
"462","92","10","2","2","13","DEM_mean"
"463","92","10","2","3","16","DEN_BLDA"
"464","92","10","2","4","19","DEN_ROAD"
"465","92","10","2","5","38","PCNT_COM"
"466","92","10","2","6","45","PCNT_R2"
"467","92","10","2","7","53","PDITC_500"
"468","92","10","2","8","94","SLP_SAN1"
"469","92","10","2","9","96","SLP_SAN3"
"470","92","10","2","10","97","SLP_STR1"
"471","93","10","3","1","6","AGE_SAN2"
"472","93","10","3","2","9","AGE_STR1"
"473","93","10","3","3","14","DEM_stdd"
"474","93","10","3","4","16","DEN_BLDA"
"475","93","10","3","5","18","DEN_PARCEL"
"476","93","10","3","6","37","PCNT_CIO"
"477","93","10","3","7","41","PCNT_INS"
"478","93","10","3","8","53","PDITC_500"
"479","93","10","3","9","94","SLP_SAN1"
"480","93","10","3","10","97","SLP_STR1"
"481","94","10","4","1","5","AGE_SAN1"
"482","94","10","4","2","6","AGE_SAN2"
"483","94","10","4","3","14","DEM_stdd"
"484","94","10","4","4","16","DEN_BLDA"
"485","94","10","4","5","19","DEN_ROAD"
"486","94","10","4","6","26","DIA_SAN1"
"487","94","10","4","7","38","PCNT_COM"
"488","94","10","4","8","45","PCNT_R2"
"489","94","10","4","9","53","PDITC_500"
"490","94","10","4","10","97","SLP_STR1"
"491","95","10","5","1","6","AGE_SAN2"
"492","95","10","5","2","9","AGE_STR1"
"493","95","10","5","3","10","AGE_STR2"
"494","95","10","5","4","14","DEM_stdd"
"495","95","10","5","5","16","DEN_BLDA"
"496","95","10","5","6","26","DIA_SAN1"
"497","95","10","5","7","38","PCNT_COM"
"498","95","10","5","8","45","PCNT_R2"
"499","95","10","5","9","51","PCULV_DRUH"
"500","95","10","5","10","53","PDITC_500"
"501","96","10","6","1","6","AGE_SAN2"
"502","96","10","6","2","14","DEM_stdd"
"503","96","10","6","3","16","DEN_BLDA"
"504","96","10","6","4","19","DEN_ROAD"
"505","96","10","6","5","20","DEN_SAN"
"506","96","10","6","6","26","DIA_SAN1"
"507","96","10","6","7","38","PCNT_COM"
"508","96","10","6","8","45","PCNT_R2"
"509","96","10","6","9","53","PDITC_500"
"510","96","10","6","10","97","SLP_STR1"
"511","97","10","7","1","6","AGE_SAN2"
"512","97","10","7","2","14","DEM_stdd"
"513","97","10","7","3","16","DEN_BLDA"
"514","97","10","7","4","18","DEN_PARCEL"
"515","97","10","7","5","19","DEN_ROAD"
"516","97","10","7","6","26","DIA_SAN1"
"517","97","10","7","7","38","PCNT_COM"
"518","97","10","7","8","45","PCNT_R2"
"519","97","10","7","9","53","PDITC_500"
"520","97","10","7","10","97","SLP_STR1"
"521","98","10","8","1","6","AGE_SAN2"
"522","98","10","8","2","9","AGE_STR1"
"523","98","10","8","3","14","DEM_stdd"
"524","98","10","8","4","16","DEN_BLDA"
"525","98","10","8","5","26","DIA_SAN1"
"526","98","10","8","6","38","PCNT_COM"
"527","98","10","8","7","45","PCNT_R2"
"528","98","10","8","8","53","PDITC_500"
"529","98","10","8","9","63","POSTALCODE"
"530","98","10","8","10","97","SLP_STR1"
"531","99","10","9","1","6","AGE_SAN2"
"532","99","10","9","2","9","AGE_STR1"
"533","99","10","9","3","14","DEM_stdd"
"534","99","10","9","4","16","DEN_BLDA"
"535","99","10","9","5","26","DIA_SAN1"
"536","99","10","9","6","38","PCNT_COM"
"537","99","10","9","7","45","PCNT_R2"
"538","99","10","9","8","53","PDITC_500"
"539","99","10","9","9","63","POSTALCODE"
"540","99","10","9","10","97","SLP_STR1"
"541","100","10","10","1","6","AGE_SAN2"
"542","100","10","10","2","9","AGE_STR1"
"543","100","10","10","3","14","DEM_stdd"
"544","100","10","10","4","16","DEN_BLDA"
"545","100","10","10","5","26","DIA_SAN1"
"546","100","10","10","6","38","PCNT_COM"
"547","100","10","10","7","45","PCNT_R2"
"548","100","10","10","8","51","PCULV_DRUH"
"549","100","10","10","9","53","PDITC_500"
"550","100","10","10","10","97","SLP_STR1"
"551","101","11","1","1","6","AGE_SAN2"
"552","101","11","1","2","9","AGE_STR1"
"553","101","11","1","3","14","DEM_stdd"
"554","101","11","1","4","16","DEN_BLDA"
"555","101","11","1","5","38","PCNT_COM"
"556","101","11","1","6","45","PCNT_R2"
"557","101","11","1","7","51","PCULV_DRUH"
"558","101","11","1","8","53","PDITC_500"
"559","101","11","1","9","94","SLP_SAN1"
"560","101","11","1","10","97","SLP_STR1"
"561","101","11","1","11","99","SLP_STR3"
"562","102","11","2","1","6","AGE_SAN2"
"563","102","11","2","2","9","AGE_STR1"
"564","102","11","2","3","14","DEM_stdd"
"565","102","11","2","4","16","DEN_BLDA"
"566","102","11","2","5","18","DEN_PARCEL"
"567","102","11","2","6","26","DIA_SAN1"
"568","102","11","2","7","38","PCNT_COM"
"569","102","11","2","8","42","PCNT_OFF"
"570","102","11","2","9","53","PDITC_500"
"571","102","11","2","10","63","POSTALCODE"
"572","102","11","2","11","97","SLP_STR1"
"573","103","11","3","1","6","AGE_SAN2"
"574","103","11","3","2","9","AGE_STR1"
"575","103","11","3","3","14","DEM_stdd"
"576","103","11","3","4","16","DEN_BLDA"
"577","103","11","3","5","26","DIA_SAN1"
"578","103","11","3","6","38","PCNT_COM"
"579","103","11","3","7","45","PCNT_R2"
"580","103","11","3","8","46","PCNT_R3"
"581","103","11","3","9","53","PDITC_500"
"582","103","11","3","10","63","POSTALCODE"
"583","103","11","3","11","97","SLP_STR1"
"584","104","11","4","1","5","AGE_SAN1"
"585","104","11","4","2","6","AGE_SAN2"
"586","104","11","4","3","14","DEM_stdd"
"587","104","11","4","4","16","DEN_BLDA"
"588","104","11","4","5","18","DEN_PARCEL"
"589","104","11","4","6","19","DEN_ROAD"
"590","104","11","4","7","26","DIA_SAN1"
"591","104","11","4","8","38","PCNT_COM"
"592","104","11","4","9","42","PCNT_OFF"
"593","104","11","4","10","53","PDITC_500"
"594","104","11","4","11","97","SLP_STR1"
"595","105","11","5","1","6","AGE_SAN2"
"596","105","11","5","2","12","AGE_STR4"
"597","105","11","5","3","14","DEM_stdd"
"598","105","11","5","4","16","DEN_BLDA"
"599","105","11","5","5","26","DIA_SAN1"
"600","105","11","5","6","38","PCNT_COM"
"601","105","11","5","7","45","PCNT_R2"
"602","105","11","5","8","51","PCULV_DRUH"
"603","105","11","5","9","53","PDITC_500"
"604","105","11","5","10","97","SLP_STR1"
"605","105","11","5","11","99","SLP_STR3"
"606","106","11","6","1","6","AGE_SAN2"
